Latitude,Longitude
23.1566687,113.4409436
23.1566728,113.4409436
23.156676,113.4409436
23.1566801,113.4409436
23.1566837,113.4409435
23.1566874,113.4409435
23.1566911,113.4409434
23.1566947,113.4409433
23.1566989,113.4409431
23.1567026,113.440943
23.1567038,113.4409482
23.1567076,113.4409486
23.1567112,113.440949
23.1567146,113.4409493
23.1567182,113.4409497
23.1567212,113.44095
23.1567247,113.4409504
23.1567282,113.4409507
23.1567322,113.4409511
23.1567352,113.4409515
23.1567391,113.4409519
23.1567426,113.4409523
23.1567447,113.4409491
23.1567481,113.4409491
23.1567518,113.4409491
23.1567547,113.440949
23.1567581,113.440949
23.1567614,113.4409489
23.1567651,113.4409488
23.1567684,113.4409487
23.1567716,113.4409486
23.1567748,113.4409485
23.1567782,113.4409484
23.1567818,113.4409482
23.1567847,113.4409481
23.1567893,113.4409479
23.1567922,113.440948
23.1567956,113.4409481
23.1567993,113.4409481
23.1568021,113.4409509
23.1568052,113.4409509
23.1568081,113.4409511
23.1568112,113.4409512
23.1568142,113.4409513
23.1568192,113.4409516
23.1568225,113.4409516
23.1568258,113.4409516
23.1568278,113.4409519
23.1568314,113.440952
23.1568345,113.440952
23.1568376,113.440952
23.1568408,113.4409521
23.1568438,113.4409521
23.156847,113.4409521
23.1568501,113.4409521
23.1568535,113.4409521
23.1568566,113.4409521
23.1568596,113.4409521
23.156863,113.4409517
23.1568669,113.4409518
23.1568702,113.4409518
23.1568729,113.4409517
23.156876,113.4409517
23.1568791,113.4409517
23.1568824,113.4409516
23.1568856,113.4409516
23.1568883,113.4409515
23.1568913,113.4409515
23.1568944,113.4409514
23.1568976,113.4409508
23.1569007,113.4409507
23.156904,113.4409505
23.1569064,113.4409514
23.1569094,113.4409513
23.1569122,113.4409512
23.1569152,113.4409511
23.1569184,113.440951
23.1569213,113.4409509
23.1569242,113.4409508
23.156927,113.4409507
23.1569299,113.4409506
23.1569327,113.4409505
23.1569355,113.4409504
23.1569386,113.4409504
23.1569412,113.4409503
23.156944,113.4409502
23.1569467,113.4409502
23.1569499,113.4409509
23.1569526,113.440951
23.1569553,113.4409512
23.156958,113.4409514
23.1569607,113.4409516
23.1569634,113.4409519
23.1569661,113.4409522
23.1569691,113.4409527
23.1569717,113.4409531
23.1569747,113.4409537
23.156977,113.4409542
23.1569802,113.440951
23.1569831,113.4409515
23.1569857,113.440952
23.1569882,113.4409524
23.1569908,113.4409528
23.1569933,113.4409533
23.1569958,113.4409538
23.1569985,113.4409542
23.1570009,113.4409548
23.1570036,113.4409558
23.1570058,113.4409564
23.1570084,113.4409574
23.1570104,113.4409581
23.1570146,113.440958
23.1570171,113.4409588
23.1570196,113.4409596
23.1570218,113.4409604
23.1570246,113.4409614
23.1570271,113.4409623
23.1570298,113.4409634
23.1570322,113.4409643
23.1570346,113.4409653
23.1570371,113.4409663
23.1570394,113.4409675
23.157042,113.4409687
23.1570442,113.4409701
23.1570465,113.4409712
23.1570508,113.4409739
23.1570532,113.4409752
23.1570556,113.4409765
23.1570578,113.4409781
23.1570601,113.4409795
23.1570625,113.4409811
23.1570645,113.4409823
23.1570667,113.440984
23.1570686,113.4409853
23.1570711,113.440987
23.1570726,113.4409888
23.1570747,113.4409903
23.1570762,113.4409922
23.157081,113.4409969
23.157083,113.4409989
23.1570851,113.4410008
23.157087,113.4410027
23.1570891,113.4410047
23.1570913,113.4410068
23.1570925,113.4410091
23.1570943,113.4410111
23.157098,113.4410122
23.1570999,113.4410141
23.1571015,113.4410163
23.1571033,113.4410183
23.1571041,113.4410219
23.1571059,113.441024
23.1571068,113.4410268
23.1571083,113.441029
23.1571102,113.4410315
23.1571116,113.4410336
23.1571128,113.4410366
23.1571142,113.441039
23.1571157,113.4410414
23.1571171,113.4410442
23.1571186,113.4410466
23.1571199,113.4410491
23.1571222,113.4410514
23.1571235,113.441054
23.1571247,113.4410566
23.157126,113.4410592
23.1571272,113.4410623
23.1571284,113.4410651
23.1571296,113.4410678
23.1571305,113.4410707
23.1571317,113.4410739
23.1571326,113.4410769
23.1571337,113.4410799
23.1571347,113.4410828
23.1571356,113.4410858
23.1571366,113.4410889
23.1571374,113.4410921
23.1571399,113.4410936
23.1571407,113.4410968
23.1571417,113.4411003
23.1571422,113.4411037
23.157143,113.4411069
23.1571434,113.4411103
23.1571441,113.4411136
23.1571446,113.4411169
23.1571453,113.4411206
23.1571459,113.441124
23.1571465,113.4411278
23.1571466,113.4411314
23.1571469,113.4411337
23.1571474,113.4411372
23.1571478,113.4411407
23.1571482,113.4411446
23.1571483,113.4411481
23.1571486,113.4411516
23.1571488,113.4411553
23.157149,113.4411588
23.1571492,113.4411624
23.1571494,113.441166
23.1571496,113.4411701
23.1571496,113.4411737
23.1571497,113.4411763
23.1571497,113.4411799
23.1571498,113.441184
23.15715,113.4411877
23.1571501,113.4411914
23.1571503,113.4411951
23.1571504,113.4411989
23.1571504,113.4412032
23.1571504,113.441207
23.1571505,113.4412108
23.1571505,113.4412147
23.1571505,113.4412185
23.1571505,113.4412228
23.1571504,113.4412266
23.1571504,113.4412304
23.1571498,113.4412337
23.1571497,113.441238
23.1571497,113.4412419
23.1571496,113.4412457
23.1571496,113.4412496
23.1571495,113.4412541
23.1571495,113.441258
23.1571494,113.4412624
23.1571494,113.4412668
23.1571493,113.4412706
23.1571492,113.4412745
23.1571492,113.4412784
23.1571493,113.4412816
23.1571496,113.4412855
23.1571495,113.4412894
23.1571493,113.4412933
23.1571492,113.4412972
23.157149,113.4413017
23.1571489,113.4413056
23.1571488,113.4413096
23.1571487,113.4413135
23.1571488,113.4413179
23.1571487,113.4413218
23.1571486,113.4413257
23.1571474,113.4413298
23.1571475,113.4413342
23.1571474,113.4413381
23.1571472,113.441342
23.1571469,113.4413459
23.1571466,113.4413497
23.1571465,113.4413542
23.1571463,113.4413585
23.1571462,113.4413619
23.1571461,113.4413662
23.1571461,113.44137
23.1571459,113.4413738
23.1571457,113.4413776
23.1571463,113.4413818
23.1571462,113.4413856
23.157146,113.4413894
23.1571458,113.4413937
23.1571456,113.4413975
23.1571455,113.4414013
23.1571453,113.4414051
23.1571454,113.4414089
23.1571455,113.4414131
23.1571455,113.4414168
23.1571456,113.4414205
23.1571454,113.4414242
23.1571453,113.4414284
23.1571465,113.4414318
23.1571465,113.4414355
23.1571463,113.4414392
23.1571463,113.4414433
23.1571462,113.441447
23.1571462,113.4414508
23.1571461,113.441455
23.157146,113.4414582
23.1571463,113.4414622
23.1571463,113.4414658
23.1571469,113.4414695
23.1571469,113.4414731
23.1571469,113.4414767
23.1571469,113.4414808
23.1571471,113.441485
23.1571469,113.4414885
23.1571471,113.4414921
23.1571472,113.4414955
23.1571472,113.4414997
23.1571472,113.4415034
23.1571472,113.4415074
23.157148,113.4415107
23.1571477,113.4415146
23.1571477,113.4415181
23.1571478,113.4415216
23.1571478,113.4415256
23.157148,113.4415291
23.157148,113.4415326
23.1571481,113.4415365
23.1571489,113.4415398
23.1571492,113.4415431
23.1571494,113.4415461
23.1571495,113.4415502
23.1571495,113.4415539
23.1571489,113.4415583
23.1571491,113.4415622
23.157149,113.4415657
23.1571491,113.4415692
23.1571493,113.4415726
23.1571494,113.4415761
23.1571496,113.4415796
23.1571498,113.4415835
23.15715,113.441587
23.1571502,113.4415905
23.1571496,113.4415949
23.1571495,113.4415982
23.1571496,113.4416017
23.1571498,113.4416052
23.1571497,113.4416087
23.1571487,113.4416143
23.1571489,113.4416179
23.1571491,113.4416214
23.1571493,113.441625
23.1571495,113.441629
23.1571497,113.4416325
23.1571499,113.4416365
23.1571502,113.4416401
23.1571494,113.441644
23.1571496,113.4416476
23.1571493,113.4416522
23.1571492,113.4416557
23.1571492,113.4416594
23.1571491,113.441663
23.1571477,113.4416691
23.1571478,113.4416727
23.1571477,113.4416764
23.1571478,113.4416799
23.157148,113.441684
23.1571481,113.4416875
23.1571483,113.4416916
23.1571484,113.4416947
23.1571478,113.4416989
23.1571477,113.4417026
23.1571478,113.4417061
23.1571477,113.44171
23.1571478,113.4417136
23.1571475,113.4417172
23.1571477,113.4417212
23.157146,113.441727
23.1571461,113.4417306
23.1571462,113.4417346
23.1571463,113.4417381
23.1571465,113.4417417
23.1571461,113.4417453
23.1571461,113.4417489
23.1571461,113.4417518
23.1571461,113.4417559
23.1571463,113.4417598
23.1571463,113.4417632
23.1571463,113.4417666
23.1571465,113.4417705
23.1571463,113.4417743
23.1571442,113.4417805
23.1571444,113.441784
23.1571445,113.4417875
23.1571446,113.4417915
23.1571447,113.4417951
23.1571449,113.441799
23.157145,113.4418024
23.1571452,113.4418059
23.1571454,113.4418093
23.1571442,113.4418132
23.1571443,113.4418166
23.1571444,113.44182
23.1571293,113.4418303
23.1571292,113.4418343
23.1571292,113.4418378
23.1571291,113.4418415
23.157129,113.441845
23.1571289,113.4418489
23.1571288,113.4418524
23.1571288,113.4418555
23.1571287,113.4418594
23.1571286,113.4418629
23.1571286,113.4418669
23.1571285,113.4418704
23.1571284,113.4418739
23.1571284,113.4418778
23.1571283,113.4418813
23.1571266,113.4418845
23.1571266,113.441888
23.1571265,113.441892
23.1571264,113.4418956
23.1571263,113.4418991
23.1571261,113.441903
23.157126,113.4419066
23.1571259,113.4419101
23.1571258,113.4419141
23.1571257,113.4419176
23.1571255,113.4419211
23.1571253,113.4419247
23.1571252,113.4419286
23.157125,113.4419322
23.1571243,113.4419361
23.1571241,113.4419401
23.1571241,113.4419437
23.157124,113.4419472
23.1571238,113.4419507
23.1571237,113.4419543
23.1571235,113.4419578
23.1571234,113.4419613
23.1571233,113.4419653
23.1571231,113.4419692
23.157123,113.4419732
23.1571228,113.4419766
23.1571225,113.4419811
23.1571224,113.4419846
23.1571223,113.4419882
23.1571221,113.4419922
23.157122,113.4419957
23.157122,113.4419992
23.1571218,113.4420031
23.1571217,113.4420066
23.1571216,113.4420101
23.1571214,113.4420141
23.1571213,113.4420176
23.1571212,113.4420215
23.1571212,113.4420251
23.1571211,113.4420286
23.1571209,113.4420321
23.1571208,113.4420357
23.1571207,113.4420394
23.1571205,113.4420434
23.1571204,113.4420469
23.1571203,113.4420505
23.1571201,113.4420545
23.1571201,113.4420581
23.1571199,113.4420617
23.1571198,113.4420653
23.1571197,113.4420692
23.1571196,113.4420728
23.1571194,113.4420764
23.1571193,113.4420804
23.1571192,113.4420841
23.157119,113.4420878
23.1571189,113.4420914
23.1571188,113.4420951
23.1571186,113.4420992
23.1571184,113.4421028
23.1571182,113.4421065
23.1571181,113.4421102
23.157118,113.4421143
23.1571178,113.442118
23.1571177,113.4421217
23.1571174,113.4421259
23.1571173,113.4421296
23.1571171,113.4421335
23.157117,113.4421372
23.1571168,113.4421409
23.1571165,113.4421447
23.1571164,113.4421493
23.1571162,113.4421531
23.1571161,113.4421568
23.1571159,113.4421606
23.1571158,113.4421643
23.1571156,113.4421679
23.1571156,113.4421715
23.1571154,113.4421753
23.1571153,113.442179
23.1571151,113.4421833
23.1571148,113.442187
23.1571146,113.4421908
23.1571144,113.442195
23.1571143,113.4421988
23.1571141,113.442203
23.1571139,113.4422068
23.1571137,113.4422105
